Box,Folder,item,accession number,Title,Play dates,Year,Written by,Director,Location,Notes,Multiplay,Non-Theatrical,era,era,height,width
1,12,3,dra037-s01-b001-f012-i03-p0001,Murder in the Cathedral,Jan. 9-10,1936,"""Eliot, T. S.""",Alan Merritt Fishburn,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1362
1,12,3,dra037-s01-b001-f012-i03-p0002,Murder in the Cathedral,Jan. 9-10,1936,"""Eliot, T. S.""",Alan Merritt Fishburn,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1533,2048
1,12,4,dra037-s01-b001-f012-i04-p0001,Decade,Feb. 22,1936,"""Hazard, Marion""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1345
1,12,4,dra037-s01-b001-f012-i04-p0002,Decade,Feb. 22,1936,"""Hazard, Marion""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1557,2048
1,12,6,dra037-s01-b001-f012-i06-p0001,Crab-Apple,May 13-15,1936,"""Packard, Theodore""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1315
1,12,6,dra037-s01-b001-f012-i06-p0002,Crab-Apple,May 13-15,1936,"""Packard, Theodore""",Alexander Dean,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1582,2048
1,12,7,dra037-s01-b001-f012-i07-p0001,The Stars Set,Nov. 11-12,1936,"""Ware, Wilson""",Constance Welch,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1430
1,12,7,dra037-s01-b001-f012-i07-p0002,The Stars Set,Nov. 11-12,1936,"""Ware, Wilson""",Constance Welch,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1451,2048
1,12,7,dra037-s01-b001-f012-i07-p0003,The Stars Set,Nov. 11-12,1936,"""Ware, Wilson""",Constance Welch,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1435
1,12,8,dra037-s01-b001-f012-i08-p0001,The Birds Are Wiser,Dec. 17-18,1936,"""Alderman, Gordon Jay""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1321
1,12,8,dra037-s01-b001-f012-i08-p0002,The Birds Are Wiser,Dec. 17-18,1936,"""Alderman, Gordon Jay""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1569,2048
1,12,8,dra037-s01-b001-f012-i08-p0003,The Birds Are Wiser,Dec. 17-18,1936,"""Alderman, Gordon Jay""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1324
1,12,9,dra037-s01-b001-f012-i09-p0001,Barchester Towers,Feb. 22,1937,"""Job, Thomas""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1314
1,12,9,dra037-s01-b001-f012-i09-p0002,Barchester Towers,Feb. 22,1937,"""Job, Thomas""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,1573,2048
1,12,9,dra037-s01-b001-f012-i09-p0003,Barchester Towers,Feb. 22,1937,"""Job, Thomas""",Frank McMullan,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1318
1,12,10,dra037-s01-b001-f012-i10-p0001,Le Burgeois Gentilhomme,Mar. 17-19,1937,Moliere,Halsted Welles,"""Yale  School of Drama, Yale Repertory Theatre""",,,,,department_of_drama,2048,1314
