Box	Folder	Item	Accession number	Title	Play dates	Year	Written by	Directed by	Company	Notes	Multiplay	Non-Theatrical	Era
13	150	3	dra037-s01-b013-f150-i03-p0017	Hay Fever	Apr 29-May 38	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0018	Hay Fever	Apr 29-May 39	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0019	Hay Fever	Apr 29-May 40	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0020	Hay Fever	Apr 29-May 41	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0021	Hay Fever	Apr 29-May 42	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	150	3	dra037-s01-b013-f150-i03-p0022	Hay Fever	Apr 29-May 43	1999	"Coward, Noel"	"Wojewodski, Jr., Stan"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0001	The Imaginary Invalid	Sept 16 - Oct 9	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0002	The Imaginary Invalid	Sept 16 - Oct 10	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0003	The Imaginary Invalid	Sept 16 - Oct 11	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0004	The Imaginary Invalid	Sept 16 - Oct 12	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0005	The Imaginary Invalid	Sept 16 - Oct 13	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0006	The Imaginary Invalid	Sept 16 - Oct 14	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0007	The Imaginary Invalid	Sept 16 - Oct 15	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0008	The Imaginary Invalid	Sept 16 - Oct 16	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0009	The Imaginary Invalid	Sept 16 - Oct 17	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0010	The Imaginary Invalid	Sept 16 - Oct 18	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0011	The Imaginary Invalid	Sept 16 - Oct 19	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0012	The Imaginary Invalid	Sept 16 - Oct 20	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0013	The Imaginary Invalid	Sept 16 - Oct 21	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0014	The Imaginary Invalid	Sept 16 - Oct 22	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0015	The Imaginary Invalid	Sept 16 - Oct 23	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0016	The Imaginary Invalid	Sept 16 - Oct 24	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0017	The Imaginary Invalid	Sept 16 - Oct 25	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0018	The Imaginary Invalid	Sept 16 - Oct 26	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0019	The Imaginary Invalid	Sept 16 - Oct 27	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0020	The Imaginary Invalid	Sept 16 - Oct 28	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0021	The Imaginary Invalid	Sept 16 - Oct 29	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0022	The Imaginary Invalid	Sept 16 - Oct 30	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0023	The Imaginary Invalid	Sept 16 - Oct 31	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0024	The Imaginary Invalid	Sept 16 - Oct 32	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0025	The Imaginary Invalid	Sept 16 - Oct 33	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0026	The Imaginary Invalid	Sept 16 - Oct 34	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0027	The Imaginary Invalid	Sept 16 - Oct 35	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0028	The Imaginary Invalid	Sept 16 - Oct 36	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0029	The Imaginary Invalid	Sept 16 - Oct 37	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	1	dra037-s01-b013-f152-i01-p0030	The Imaginary Invalid	Sept 16 - Oct 38	1999	Molière	"Rucker, Mark"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0001	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0002	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0003	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0004	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0005	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0006	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0007	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0008	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0009	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0010	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0011	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0012	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0013	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0014	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0015	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
13	152	2	dra037-s01-b013-f152-i02-p0016	Betrayal	Oct 21 - Nov 13	1999	"Pinter, Harold"	"Diamond, Liz"	Yale Repertory Theatre				stan_wojewodski
