file_path,thumbnail,width,height,page_no,set_key,year,written_by,director,location
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i05-p0007.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i05-p0007.jpg,2048,1499,7,dra037-s01-b001-f018-i05,1949,,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i05-p0008.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i05-p0008.jpg,2048,1516,8,dra037-s01-b001-f018-i05,1949,,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i05-p0009.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i05-p0009.jpg,2048,1544,9,dra037-s01-b001-f018-i05,1949,,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i05-p0010.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i05-p0010.jpg,2048,1523,1,dra037-s01-b001-f018-i05,1949,,,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i06-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i06-p0001.jpg,1485,2048,1,dra037-s01-b001-f018-i06,1948,"Mosel, George",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i07-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i07-p0001.jpg,1504,2048,1,dra037-s01-b001-f018-i07,1948,"Goldsmith, Oliver",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i08-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i08-p0001.jpg,1341,2048,1,dra037-s01-b001-f018-i08,1948,"Garcia Lorca, Federico",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i08-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i08-p0002.jpg,2048,1574,2,dra037-s01-b001-f018-i08,1948,"Garcia Lorca, Federico",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i08-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i08-p0003.jpg,1321,2048,3,dra037-s01-b001-f018-i08,1948,"Garcia Lorca, Federico",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i09-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i09-p0001.jpg,1492,2048,1,dra037-s01-b001-f018-i09,1949,"Larson, David J.",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0001.jpg,1319,2048,1,dra037-s01-b001-f018-i10,1949,"Goldoni, Carlo",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0002.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0002.jpg,2048,1565,2,dra037-s01-b001-f018-i10,1949,"Goldoni, Carlo",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f018-i10-p0003.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f018-i10-p0003.jpg,1357,2048,3,dra037-s01-b001-f018-i10,1949,"Goldoni, Carlo",,"Yale School of Drama, Yale Repertory Theatre"
http://hcremacmini01.library.yale.edu/images/dra037-s01-b001-f019-i01-p0001.jpg,http://hcremacmini01.library.yale.edu/thumbs/dra037-s01-b001-f019-i01-p0001.jpg,1482,2048,1,dra037-s01-b001-f019-i01,1949,"Priestley, J. B.",,"Yale School of Drama, Yale Repertory Theatre"
